'mrholmes',6.9,49539
'claranoesunnombredemujer',6.3,9
'bluejasmine',7.3,161232
'kontiki',8.1,7
'secuestro',6.2,1105
'antman',7.3,372519
'tiemposinaire',6.5,198
'selma',7.5,68033
'tarzan',6.3,120485
'elefanteblanco',9.1,7
'ochoapellidoscatalanes',5.2,3907
'noseaceptandevoluciones',6.9,12
'lincoln',7.4,208113
'julieta',7.1,17244
'ninjaturtles',5.9,179048
'oblivion',7,411670
'amor',7.9,75384
'invisiblewomanthe',6.1,7665
'hijobastardodediosel',4.7,25
'fastfurious7',7.1,319509
'fastfurious6',7.1,319509
'yofrankestein',2.8,437
'phantomboy',6.6,706
'born',4.8,43771
'canibal',5.9,2471
'lucesdeparis',6.4,258
'francofonia',6.6,1829
'mustang',7.7,23844
'viral',5.5,3837
'avantipopolo',7.6,273
'bigbadwolves',6.8,13027
'tangolibre',6.2,666
'singstreet',8,53375
'intocable',8.6,561538
'embarazados',5.4,763
'ensolitario',6.4,13899
'volveranacer',5.5,20
'donjon',3.6,28455
'keepthelightson',6.3,4330
'riddick',6.7,191502
'needforspeed',6.5,143816
'loreak',6.8,1772
'regaloel',6.7,206
'conducta',7.6,963
'carol',7.2,78655
'benditacalamidad',4.5,40
'springbreakers',4,812
'yoko',4.7,226
'stoker',6.8,89316
'deechevarriaaetxeberria',5.7,6
'margaret',6.5,13444
'sinister',6.8,172417
'birdman',7.8,443029
'amazingspiderman2',6.7,343821
'borgman',6.8,12728
'ida',7.4,39052
'tomboy',4.5,2677
'nerve',6.6,71318
'sexofacilpeliculastristes',5.7,563
'mommy',8.1,34031
'interstellar',8.6,1055689
'amantespasajeroslos',5.7,9
'three',7.4,309240
'sanandres',6.2,113
'bloodfather',6.4,41019
'atraco',6.3,589
'her',8,392798
'omega',7.2,28
'carminayamen',6.9,1183
'beginagain',7.4,112549
'entreamigos',6.2,5
'kamikaze',6.4,1192
'eastthe',6.8,3729
'godhelpthegirl',6.4,7177
'americanhoney',7,20380
'serratysabinaelsimboloyelcuate',7,72
'calabria',6.8,2034
'hitmanagente47',5.7,71057
'johncarter',6.6,221313
'yodanielblake',7.9,24506
'snowqueenthe',6.8,2449
'viva',6,714
'rush',8.1,341560
'isladelvientola',7.4,27
'tropadetrapoenlaselvadelarcoirisla',7.3,9
'demolicion',7,59663
'whiplash',8.5,481882
'jurassicworld',7,457482
'mapstothestars',6.2,30749
'monumentsmen',6.1,108351
'vientosdeagosto',8.8,577
'grandiael',8.5,155
'medicoel',8.9,99
'sinister2',5.3,31602
'vilamor',5.3,18
'stepuprevolution',6.5,4769
'antoniovegatuvozentreotrasmil',7.6,60
'turbo',6.5,66368
'francotiradorel',6,42
'apostolel',7.7,384
'impostorel',6.2,20582
'everest',7.1,155840
'anomalisa',7.2,45118
'exameneslos',8.7,7
'no',7.4,19584
'snowden',7.3,81915
'reality',6.9,3488
'efectossecundarios',6.7,647
'residentevilvenganza',7.2,222
'lioenbroadway',7.3,25
'sully',7.5,141123
'vulnerables',4.2,73
'phoenix',7.3,12223
'madamebovary',5.7,5102
'annabelle',5.4,91658
'zarafa',7,1132
'intothewoods',6,110303
'acantilado',5.1,213
'futbolin',6.6,7461
'esperala',7.2,145537
'weekend',7.7,21757
'viajeasurtsey',5.9,43
'tengoganasdeti',9,136
'malavita',6.3,93238
'turistas',6,186958
'skylable',6.4,1721
'bighero6',7.8,311119
'iamyourfather',6.6,1134
'niñossalvajeslos',5.7,9
'heidi',4.8,189
'francesha',7.4,48460
'upstreamcolor',6.8,24992
'inferno',6.2,99821
'straightouttacompton',7.9,141098
